iter	Passed	Remaining
618	11610	7146
619	11628	7127
620	11646	7108
621	11664	7088
622	11682	7069
623	11700	7050
624	11718	7030
625	11736	7011
626	11754	6992
627	11771	6972
628	11789	6953
629	11807	6934
630	11826	6915
631	11844	6896
632	11861	6877
633	11879	6857
634	11896	6838
635	11913	6818
636	11932	6799
637	11952	6782
638	11970	6762
639	11988	6743
640	12006	6724
641	12023	6704
642	12041	6685
643	12058	6665
644	12076	6646
645	12094	6627
646	12112	6608
647	12129	6589
648	12147	6569
649	12165	6550
650	12182	6531
651	12200	6511
652	12217	6492
653	12235	6473
654	12253	6453
655	12271	6434
656	12289	6415
657	12307	6396
658	12324	6377
659	12348	6361
660	12365	6341
661	12382	6322
662	12400	6303
663	12418	6283
664	12436	6264
665	12454	6245
666	12472	6226
667	12489	6207
668	12508	6188
669	12526	6169
670	12544	6150
671	12562	6131
672	12580	6112
673	12598	6093
674	12616	6074
675	12633	6055
676	12651	6035
677	12669	6017
678	12687	5998
679	12705	5979
680	12723	5960
681	12743	5941
682	12762	5923
683	12780	5904
684	12798	5885
685	12816	5866
686	12836	5848
687	12867	5835
688	12898	5821
689	12922	5805
690	12947	5789
691	12975	5775
692	12999	5758
693	13018	5740
694	13036	5721
695	13055	5702
696	13073	5683
697	13091	5664
698	13109	5645
699	13127	5626
700	13145	5606
701	13164	5588
702	13184	5570
703	13202	5551
704	13220	5531
705	13237	5512
706	13255	5493
707	13273	5474
708	13291	5455
709	13309	5436
710	13327	5417
711	13346	5398
712	13364	5379
713	13389	5363
714	13411	5345
715	13432	5327
716	13450	5308
717	13468	5289
718	13486	5270
719	13505	5252
720	13523	5232
721	13540	5213
722	13558	5194
723	13579	5176
724	13598	5157
725	13616	5138
726	13634	5120
727	13652	5100
728	13670	5081
729	13688	5062
730	13706	5043
731	13724	5024
732	13742	5005
733	13760	4986
734	13783	4969
735	13807	4952
736	13833	4936
737	13857	4919
738	13885	4903
739	13905	4885
740	13924	4867
741	13943	4848
742	13963	4829
743	13984	4811
744	14003	4793
745	14023	4774
746	14041	4755
747	14061	4737
748	14080	4718
749	14101	4700
750	14121	4682
751	14142	4663
752	14162	4645
753	14181	4626
754	14201	4608
755	14221	4590
756	14241	4571
757	14259	4552
758	14278	4533
759	14299	4515
760	14318	4496
761	14338	4478
762	14361	4460
763	14392	4445
764	14411	4427
765	14433	4409
766	14454	4391
767	14477	4373
768	14498	4355
769	14521	4337
770	14540	4318
771	14560	4300
772	14580	4281
773	14599	4262
774	14620	4244
775	14640	4226
776	14663	4208
777	14686	4190
778	14707	4172
779	14728	4154
780	14751	4136
781	14772	4118
782	14852	4116
783	14878	4099
784	14901	4081
785	14918	4061
786	14937	4042
787	14956	4023
788	14974	4004
789	14993	3985
790	15012	3966
791	15030	3947
792	15048	3928
793	15067	3909
794	15084	3889
795	15102	3870
796	15119	3851
797	15137	3831
798	15154	3812
799	15172	3793
800	15189	3773
801	15208	3754
802	15232	3736
803	15250	3717
804	15269	3698
805	15287	3679
806	15307	3660
807	15332	3643
808	15357	3625
809	15382	3608
810	15403	3589
811	15429	3572
812	15450	3553
813	15470	3535
814	15490	3516
815	15510	3497
816	15533	3479
817	15552	3460
818	15571	3441
819	15590	3422
820	15609	3403
821	15629	3384
822	15648	3365
823	15666	3346
824	15685	3327
825	15704	3308
826	15726	3289
827	15750	3271
828	15777	3254
829	15798	3235
830	15823	3217
831	15846	3199
832	15870	3181
833	15894	3163
834	15916	3145
835	15938	3126
836	15962	3108
837	15984	3090
838	16006	3071
839	16034	3054
840	16062	3036
841	16083	3018
842	16104	2999
843	16123	2980
844	16141	2960
845	16158	2941
846	16176	2922
847	16194	2902
848	16212	2883
849	16230	2864
850	16248	2844
851	16266	2825
852	16284	2806
853	16302	2787
854	16320	2767
855	16338	2748
856	16356	2729
857	16374	2709
858	16393	2690
859	16412	2671
860	16431	2652
861	16450	2633
862	16468	2614
863	16488	2595
864	16506	2576
865	16524	2556
866	16543	2537
867	16563	2518
868	16582	2499
869	16602	2480
870	16622	2461
871	16642	2442
872	16663	2424
873	16683	2405
874	16703	2386
875	16723	2367
876	16741	2348
877	16762	2329
878	16780	2309
879	16798	2290
880	16816	2271
881	16834	2252
882	16855	2233
883	16873	2214
884	16892	2195
885	16910	2175
886	16927	2156
887	16946	2137
888	16963	2118
889	16982	2098
890	17008	2080
891	17032	2062
892	17054	2043
893	17079	2025
894	17103	2006
895	17126	1987
896	17150	1969
897	17174	1950
898	17196	1931
899	17219	1913
900	17246	1895
901	17270	1876
902	17292	1857
903	17317	1839
904	17340	1820
905	17364	1801
906	17386	1782
907	17408	1763
908	17432	1745
909	17457	1726
910	17476	1707
911	17494	1688
912	17512	1668
913	17529	1649
914	17547	1630
915	17565	1610
916	17582	1591
917	17601	1572
918	17619	1552
919	17639	1533
920	17659	1514
921	17677	1495
922	17696	1476
923	17717	1457
924	17742	1438
925	17768	1419
926	17792	1401
927	17812	1382
928	17834	1363
929	17853	1343
930	17872	1324
931	17893	1305
932	17913	1286
933	17936	1267
934	17955	1248
935	17976	1229
936	17995	1209
937	18019	1191
938	18042	1172
939	18065	1153
940	18086	1133
941	18108	1114
942	18132	1095
943	18153	1076
944	18177	1057
945	18261	1042
946	18292	1023
947	18311	1004
948	18331	985
949	18350	965
950	18367	946
951	18385	927
952	18403	907
953	18421	888
954	18439	868
955	18457	849
956	18474	830
957	18491	810
958	18510	791
959	18531	772
960	18548	752
961	18566	733
962	18584	714
963	18601	694
964	18619	675
